                                                             СТАТИКА Unnamed: 1  Unnamed: 2                                                          СТАТО-ДИНАМІКА Unnamed: 4  Unnamed: 5                                                   ДИНАМІКА Unnamed: 7  Unnamed: 8                                              ДИНАМІКА.1 Unnamed: 10
0                                                     Назва елементу        бал         NaN                                                          Назва елементу        бал         NaN                                             Назва елементу        бал         NaN                                          Назва елементу         бал
1          Група елементів А                                                NaN         NaN                                             Група елементів А\t\t\t\t\t        NaN         NaN                                Група елементів А\t\t\t\t\t        NaN         NaN                                       Група елементів C         NaN
2                                                              Жабка          1         NaN                                                  Виделка - капітанський          1         NaN                                             Сокирка вперед          1         NaN                                                Дабл 540           9
3                                         Стійка на плечах на брусах          1         NaN                          Підйом ластівки з однією ногою до перекладини           1         NaN                                                 Санжировка          1         NaN                    Голочка в нижній хват (підйом двома)           9
4                               Кут під перекладиною у висі на руках          1         NaN                                                     Підйом переворотом           1         NaN                                                     Папуга          1         NaN                          Сальто на брусах вперед в упор           9
5                                       Драгон флаг з опорою на руку          1         NaN                                           Підтягування в висі з 1 ногою          1         NaN                                               Вихід на три          1         NaN                                       Переліт з чеських           9
6                                 Крокодил на брусах на двух ліктях           2         NaN                                       Підтягування в ластівці з 1 ногою          1         NaN                                           Сокирка без маху          1         NaN                                       Італійські оберти           9
7                                                      Кут на брусах          2         NaN                                         Підйом ластівки до перекладини           2         NaN                                             Сокирка на 180          1         NaN                                              Бек ту бек           9
8                                                   Кут ноги нарізно          2         NaN                                                  Вихід з жабки в стійку          2         NaN                               Трунка назад \ трунка на 180          1         NaN                                        Мартіра бланшом            9
9                         Кут на перекладині в упорі на передпліччях          2         NaN                                                           Вихід на одну          2         NaN                                Бочка вперед на перекладині          1         NaN                                               Палм дроп           9
10                            Прапор на передпліччі (халявний диван)          2         NaN                                                      Друкарьска машинка          2         NaN                                 Бочка назад на перекладині          1         NaN                                         Переліт Балаєва           9
11                                   Кут високий на ліктях на брусах          2         NaN                                                          Вихід Семенова          2         NaN                                                   Стільчик          1         NaN                                                   Вінт            9
12                                         Кут зверху на перекладині          2         NaN           Підтягування в ластівці ноги широко (>45 грудусів між ногами)          2         NaN                                            Вихід на чотири          1         NaN                                  Кумкват на 180 в зачіп           9
13                                                Ластівка з 1 ногою          2         NaN    Підтягування в передньому висі ноги широко (>45 грудусів між ногами)          2         NaN                                       Сокира назад в зачіп          2         NaN                           Кумкват з однієї ноги в зачіп           9
14                    Кут ноги нарізно на перекладині вузьким хватом          2         NaN                                                  Маховий вихід в стійку          3         NaN                                             Чеський на 180          2         NaN                                            Передні 720           10
15                            Крокодил на перекладині на двух ліктях          3         NaN                                                       Офіцерський вихід          3         NaN                                      Підйом розгином назад          2         NaN                                            Халявний 720          10
16                                   Стійка на ліктях (передпліччях)          3         NaN                                                                  Крабік          3         NaN                                 Замок (підйом махом назад)          2         NaN                                      Переліт Маркелова           10
17                                       Передня закладка (ескуадра)          3         NaN                                                                 Метелик          3         NaN                                             Імпульсо у вис          2         NaN                                          V виліт на 360          10
18                            Передній вис з підігнутою однією ногою          3         NaN                                                            Капітанський          3         NaN                                    Голочка (підйом двома )          2         NaN                                                Мега олі          10
19                                             Ластівка ноги нарізно          3         NaN                                                                  Рушник          3         NaN                                  Відмах з упора на місяць           2         NaN                                                 Барспін          10
20                                                    Кут на кільцях          3         NaN                               Опускання зі стійки в горизонтальний упор          3         NaN                                          Супер санжировка           2         NaN                                          Кумкват вінтом          11
21                                     Флажок халявний  (ноги вверх)          3         NaN                                   Підйом переднього вису до перекладини          3         NaN                                         Манкі/ анті манкі           2         NaN                                      Бек ту бек бланшом          11
22                    Крокодил на одному лікті на вертикальній трубі          3         NaN                                                  Силовий вихід в стійку          4         NaN                                     Скльопка нижнім хватом          2         NaN                       Переліт Ткачова із заднього вису           11
23                                        Кут ноги нарізно на 1 руці          4         NaN                                                           Вихід на дві           4         NaN                          Скльопка (підйом розгином вперед)          3         NaN                                       Манендес(тарелка)          11
24                                                   Прапор ластівка          4         NaN                                                    Вихід на дві кільця           4         NaN                                              180 на брусах          3         NaN                                           Контр бокове           11
25                                         Драгонфлаг з однією ногою          4         NaN                                            Підйом з кута в передній вис          4         NaN                                         Скльопка на брусах          3         NaN            Переліт через турнік ноги нарізно (епсілант)          11
